,TARGET_B,ID,TARGET_D,GiftCnt36,GiftCntAll,GiftCntCard36,GiftCntCardAll,GiftAvgLast,GiftAvg36,GiftAvgAll,GiftAvgCard36,GiftTimeLast,GiftTimeFirst,PromCnt12,PromCnt36,PromCntAll,PromCntCard12,PromCntCard36,PromCntCardAll,StatusCat96NK,StatusCatStarAll,DemCluster,DemAge,DemGender,DemHomeOwner,DemMedHomeValue,DemPctVeterans,DemMedIncome
0,0,14974,,2,4,1,3,17.0,13.5,9.25,17.0,21,66,8,17,26,3,8,13,A,0,0,,F,U,0.0,0,0.0
1,0,6294,,1,8,0,3,20.0,20.0,15.88,,26,92,14,35,79,5,5,24,A,0,23,67.0,F,U,186800.0,85,0.0
2,1,46110,4.0,6,41,3,20,6.0,5.17,3.73,5.0,18,111,12,23,51,5,11,22,S,1,0,,M,U,87600.0,36,38750.0
3,1,185937,10.0,3,12,3,8,10.0,8.67,8.5,8.67,9,93,14,22,44,2,6,16,E,1,0,,M,U,139200.0,27,38942.0
4,0,29637,,1,1,1,1,20.0,20.0,20.0,20.0,21,21,10,15,13,4,7,6,F,0,35,53.0,M,U,168100.0,37,71509.0
5,1,112632,11.0,3,11,2,9,11.0,10.33,8.27,8.0,22,102,11,21,45,5,10,22,S,1,0,47.0,M,H,253100.0,0,92514.0
6,0,123712,,2,4,2,3,15.0,20.0,13.0,20.0,17,57,13,34,44,6,16,18,A,0,35,58.0,M,H,234700.0,22,72868.0
7,0,45409,,1,4,0,3,15.0,15.0,11.5,,18,90,10,19,40,4,4,15,A,0,8,,U,U,207000.0,44,0.0
8,1,19094,40.0,1,3,0,1,35.0,35.0,28.33,,17,44,15,32,56,6,6,22,A,0,35,,F,U,137300.0,32,0.0
9,0,178271,,1,5,1,2,6.0,20.0,11.6,20.0,18,78,14,28,50,5,11,18,A,0,13,,U,U,180700.0,37,0.0
10,1,102224,6.0,3,16,2,13,6.0,6.33,6.13,6.0,17,107,12,23,40,6,12,21,S,1,15,,U,U,143900.0,30,0.0
11,1,187915,20.0,2,13,1,8,13.11,9.06,3.93,5.0,19,75,7,15,29,2,6,13,E,1,36,,F,U,134400.0,41,0.0
12,0,182029,,1,1,0,0,20.0,20.0,20.0,,16,16,12,17,14,5,5,6,F,0,16,,F,U,68200.0,47,0.0
13,0,188644,,2,4,0,0,10.0,15.0,11.5,,5,32,15,33,30,6,6,13,A,0,17,39.0,M,H,115100.0,30,63000.0
14,1,164513,50.0,2,2,1,1,20.0,12.5,12.5,5.0,18,27,11,23,19,5,11,9,A,0,24,50.0,F,H,0.0,33,0.0
15,0,102526,,6,12,3,5,6.0,6.0,6.0,5.33,23,45,11,32,40,5,15,16,S,1,34,45.0,F,U,0.0,37,0.0
16,0,190267,,3,7,1,3,15.0,11.67,8.14,15.0,24,74,4,12,26,2,6,13,E,0,35,,M,U,207900.0,48,0.0
17,0,35996,,7,15,3,8,5.0,5.29,5.67,5.67,17,93,12,30,58,6,15,22,S,1,39,,M,H,104400.0,35,54385.0
18,0,176929,,4,5,1,1,10.0,41.5,35.2,50.0,18,33,14,33,33,6,15,13,A,0,45,,F,U,70000.0,37,0.0
19,1,187678,5.0,4,9,3,7,7.0,5.5,5.22,5.67,21,44,6,14,19,2,6,8,E,1,18,,F,U,62500.0,28,0.0
20,1,6789,10.0,1,20,1,8,25.0,36.0,26.95,36.0,18,105,21,39,101,6,17,30,A,1,53,80.0,M,U,51500.0,37,44947.0
21,0,190212,,2,5,0,2,15.0,12.0,9.2,,18,57,4,12,19,2,2,10,E,0,12,,M,U,43200.0,52,0.0
22,0,29903,,3,21,2,14,8.0,7.67,6.57,7.5,22,105,5,13,42,2,6,19,E,1,0,61.0,M,H,237700.0,31,86560.0
23,1,127346,10.0,1,1,1,1,15.0,15.0,15.0,15.0,19,19,7,11,10,2,4,4,E,0,14,47.0,F,U,218900.0,26,0.0
24,0,115374,,3,15,0,5,20.0,13.33,10.07,,18,98,13,34,74,6,6,32,S,1,49,67.0,U,U,93800.0,33,0.0
25,0,83613,,2,2,1,1,13.0,16.5,16.5,20.0,16,17,12,17,15,6,9,7,N,0,5,67.0,F,H,79600.0,31,52981.0
26,0,174124,,1,1,1,1,20.0,20.0,20.0,20.0,16,16,5,8,8,2,4,4,E,0,0,53.0,M,H,78100.0,8,40491.0
27,1,5532,15.0,2,14,2,6,14.0,10.0,9.93,10.0,4,64,30,50,103,6,16,24,S,1,37,76.0,M,H,169000.0,50,83169.0
28,1,189258,15.0,5,11,3,7,15.0,10.2,8.64,10.33,4,53,6,14,21,1,5,8,E,1,34,,F,U,135400.0,15,0.0
29,1,27634,5.0,5,16,3,7,15.0,7.8,5.38,9.67,25,103,8,25,43,4,13,17,A,0,35,,M,U,123600.0,22,0.0
30,1,190726,10.0,4,14,2,7,17.0,17.0,11.43,16.5,16,124,13,29,58,6,16,29,A,0,0,47.0,F,U,87500.0,44,40898.0
31,0,118908,,3,5,3,4,15.0,16.33,15.8,16.33,9,41,23,39,44,9,16,17,F,0,25,50.0,M,U,192800.0,0,71033.0
32,0,175262,,2,2,1,1,45.0,32.5,32.5,20.0,18,19,15,21,17,6,9,7,N,0,25,,F,U,103100.0,24,0.0
33,1,31911,5.0,5,7,4,5,5.0,4.8,4.29,3.5,16,41,15,32,32,6,14,13,A,1,12,,F,U,80000.0,37,57800.0
34,0,133244,,2,4,1,3,15.0,15.0,12.5,15.0,25,44,10,20,21,5,10,11,A,1,27,,M,H,81400.0,33,44194.0
35,0,103130,,7,18,4,10,10.0,7.0,6.28,6.5,19,57,13,33,48,6,17,21,S,1,43,41.0,M,U,54900.0,27,45164.0
36,1,34174,12.0,2,12,1,6,12.0,11.0,6.08,12.0,20,112,15,34,69,6,14,28,A,0,36,67.0,F,H,52900.0,35,53400.0
37,1,15038,25.0,1,10,1,9,19.0,19.0,12.8,19.0,17,108,14,32,66,6,15,27,A,1,40,75.0,M,U,84900.0,21,59500.0
38,0,186974,,1,3,1,1,10.0,25.0,13.67,25.0,7,21,16,23,21,5,8,7,N,0,40,,M,U,84900.0,21,0.0
39,0,189536,,2,2,1,1,16.0,13.0,13.0,16.0,24,28,10,23,22,4,10,9,A,0,42,41.0,M,H,111700.0,42,59500.0
40,1,15046,10.0,3,22,3,16,10.0,6.67,2.64,6.67,24,131,4,13,49,2,7,24,A,1,49,59.0,F,U,59500.0,23,0.0
41,1,15066,10.0,4,24,2,10,11.0,10.25,8.96,10.0,19,111,13,33,73,6,17,31,S,1,51,51.0,F,U,44400.0,33,40000.0
42,1,15086,10.0,6,22,3,9,25.0,15.17,14.18,13.33,16,99,14,36,76,6,17,28,S,1,49,,F,U,59500.0,23,0.0
43,0,15163,,1,1,0,0,20.0,20.0,20.0,,20,20,11,18,16,4,4,6,F,0,51,31.0,F,H,45400.0,11,37236.0
44,1,15219,25.0,1,1,1,1,25.0,25.0,25.0,25.0,21,21,10,17,15,4,7,6,N,0,40,,F,U,73000.0,36,50528.0
45,0,15237,,2,2,0,0,20.0,20.0,20.0,,16,20,12,18,17,5,5,6,N,0,49,54.0,F,U,54300.0,25,43729.0
46,0,15277,,2,16,2,12,15.0,15.0,11.31,15.0,19,122,13,33,76,6,16,33,A,1,43,47.0,F,H,50200.0,25,41094.0
47,1,15332,10.0,2,13,1,6,11.0,10.0,6.54,11.0,17,77,13,32,56,6,15,22,S,1,24,80.0,M,U,72300.0,30,0.0
48,0,15311,,1,1,1,1,25.0,25.0,25.0,25.0,21,21,11,18,16,5,8,7,F,0,22,51.0,M,H,107100.0,32,50832.0
49,1,15349,30.0,1,1,0,0,20.0,20.0,20.0,,19,19,10,14,12,4,4,4,F,0,29,75.0,M,U,65100.0,30,0.0
50,1,15350,15.0,2,2,1,1,20.0,17.5,17.5,15.0,18,23,12,24,21,6,12,10,N,0,22,70.0,F,U,107100.0,32,77654.0
