TARGET_B,ID,TARGET_D,GiftCnt36,GiftCntAll,GiftCntCard36,GiftCntCardAll,GiftAvgLast,GiftAvg36,GiftAvgAll,GiftAvgCard36,GiftTimeLast,GiftTimeFirst,PromCnt12,PromCnt36,PromCntAll,PromCntCard12,PromCntCard36,PromCntCardAll,StatusCat96NK,StatusCatStarAll,DemCluster,DemAge,DemGender,DemHomeOwner,DemMedHomeValue,DemPctVeterans,DemMedIncome
0,00014974,,2,4,1,3,$17.00,$13.50,$9.25,$17.00,21,66,8,17,26,3,8,13,A,0,00,,F,U,$0,0,$0
0,00006294,,1,8,0,3,$20.00,$20.00,$15.88,,26,92,14,35,79,5,5,24,A,0,23,67,F,U,"$186,800",85,$0
1,00046110,$4.00,6,41,3,20,$6.00,$5.17,$3.73,$5.00,18,111,12,23,51,5,11,22,S,1,00,,M,U,"$87,600",36,"$38,750"
1,00185937,$10.00,3,12,3,8,$10.00,$8.67,$8.50,$8.67,9,93,14,22,44,2,6,16,E,1,00,,M,U,"$139,200",27,"$38,942"
0,00029637,,1,1,1,1,$20.00,$20.00,$20.00,$20.00,21,21,10,15,13,4,7,6,F,0,35,53,M,U,"$168,100",37,"$71,509"
1,00112632,$11.00,3,11,2,9,$11.00,$10.33,$8.27,$8.00,22,102,11,21,45,5,10,22,S,1,00,47,M,H,"$253,100",0,"$92,514"
0,00123712,,2,4,2,3,$15.00,$20.00,$13.00,$20.00,17,57,13,34,44,6,16,18,A,0,35,58,M,H,"$234,700",22,"$72,868"
0,00045409,,1,4,0,3,$15.00,$15.00,$11.50,,18,90,10,19,40,4,4,15,A,0,08,,U,U,"$207,000",44,$0
1,00019094,$40.00,1,3,0,1,$35.00,$35.00,$28.33,,17,44,15,32,56,6,6,22,A,0,35,,F,U,"$137,300",32,$0
0,00178271,,1,5,1,2,$6.00,$20.00,$11.60,$20.00,18,78,14,28,50,5,11,18,A,0,13,,U,U,"$180,700",37,$0
